,Poste,Note,Nb match,Variation,But,%Titu,Temps,Tps moy,Cleansheet,Pass decis.,Occas° créée,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Ligue,Valeur_Joueur,Note_Max,Note_Min_Sans_Zero,Note_Mediane
650,MO,5.22,27,0.58,0,0.52,1190,44.07,6.0,0.0,1.0,5.0,0.7497,751.0,14.0,38.0,50.46,37.0,0.0,0.0,Ligue 1,12.0,6.5,4.5,5.0
651,MD,5.21,26,0.86,0,0.96,2041,78.5,8.5,1.0,4.0,4.0,0.8567,1528.0,21.0,24.0,52.59,20.0,0.0,0.0,Ligue 1,5.0,8.0,3.5,4.5
652,DL,5.18,33,0.79,0,0.82,2455,74.39,10.0,2.0,0.0,10.0,0.8521,1830.0,33.0,35.0,58.15,25.0,0.0,0.0,Ligue 1,12.0,6.5,3.0,5.0
653,MO,5.18,20,0.57,0,0.35,652,32.6,4.0,1.0,1.0,6.0,0.6987,467.0,9.0,13.0,45.95,9.0,0.0,0.0,Ligue 1,9.0,6.5,4.0,4.25
654,DL,5.17,23,0.85,0,0.83,1691,73.52,6.0,0.0,1.0,14.0,0.7835,1293.0,44.0,37.0,65.2,15.0,0.0,0.0,Ligue 1,10.0,7.0,3.0,4.5
655,MD,5.16,25,0.51,0,0.56,1183,47.32,1.0,1.0,0.0,1.0,0.8547,750.0,26.0,17.0,38.57,38.0,0.0,0.0,Ligue 1,7.0,6.5,4.0,5.0
656,DC,5.16,29,1.13,0,0.93,2388,82.34,6.0,3.0,5.0,1.0,0.8534,1843.0,32.0,48.0,57.26,29.0,0.0,0.0,Ligue 1,14.0,7.0,2.0,4.75
657,MD,5.14,29,0.84,0,0.55,1378,47.52,5.5,1.0,2.0,2.0,0.8361,1001.0,22.0,25.0,48.8,32.0,0.0,0.0,Ligue 1,11.0,7.5,3.0,5.0
658,DL,5.14,21,0.87,0,0.9,1600,76.19,6.5,1.0,3.0,27.0,0.8405,1689.0,28.0,26.0,52.22,20.0,0.0,0.0,Ligue 1,4.0,7.0,3.5,4.0
659,DC,5.13,35,0.78,0,0.86,2642,75.49,10.0,1.0,0.0,1.0,0.8127,2048.0,62.0,38.0,57.45,54.0,0.0,0.0,Ligue 1,9.0,7.0,3.0,5.0
660,DC,5.13,16,1.19,0,0.94,1363,85.19,8.0,0.0,0.0,0.0,0.9262,1120.0,17.0,11.0,59.46,8.0,0.0,0.0,Ligue 1,9.0,7.0,3.0,0.0
661,MO,5.13,19,0.7,0,0.47,861,45.32,4.0,4.0,7.0,11.0,0.8029,561.0,1.0,9.0,52.94,9.0,0.0,0.0,Ligue 1,11.0,6.5,4.0,2.0
662,MD,5.12,26,0.73,0,0.54,1327,51.04,6.5,1.0,1.0,2.0,0.8049,819.0,20.0,19.0,57.04,29.0,0.0,0.0,Ligue 1,10.0,7.0,3.5,4.75
663,DC,5.12,34,1.06,0,1.0,2996,88.12,8.5,2.0,2.0,3.0,0.8334,2198.0,50.0,23.0,68.77,30.0,0.0,0.0,Ligue 1,9.0,7.5,2.0,5.0
664,MO,5.09,28,0.49,0,0.64,1543,55.11,4.0,0.0,0.0,13.0,0.7497,1222.0,16.0,30.0,53.89,16.0,0.0,0.0,Ligue 1,10.0,6.5,4.0,5.0
665,MD,5.09,38,0.64,0,0.66,2391,62.92,3.5,0.0,5.0,4.0,0.8283,1731.0,25.0,56.0,50.29,48.0,0.0,0.0,Ligue 1,10.0,6.5,3.0,5.0
